Bundesland,Wahlbeteiligung,Union,SPD,DIE_LINKE,GRUENE,FDP,AfD,Sonstige,latitude,longitude
Baden-Wuerttemberg,78.3,39.3,19.5,5.4,13.4,8.6,11.5,2.2,48.7758,9.1829
Bayern,78.1,44.2,18.1,5.2,9,6.5,10.5,6.5,48.1351,11.5819
Berlin,75.6,24.7,21,20.2,12.4,5.6,11.4,4.7,52.52,13.4049
Berlin,75.6,24.7,21,20.2,12.4,5.6,11.4,4.7,52.52,13.4049
Brandenburg,73.7,29,20.5,17.2,4.5,5.1,19.4,4.2,52,13.5644
Bremen,70.8,24.6,31.8,11.9,10.1,9.2,9.3,3.2,53.0792,8.8016
Hamburg,76,28.5,32,10.8,11.7,7.1,7.3,2.6,53.551,9.9936
Hessen,77,35.4,29.2,6.6,8.1,7.1,11.2,2.4,50.1109,8.6821
Mecklenburg-Vorpommern,70.9,34.2,17.4,18.5,3.6,4.7,18.2,3.4,53.6355,11.4012
Niedersachsen,76.4,38.3,33.6,5.9,7.2,5.7,8,1.3,52.3758,9.732
Nordrhein-Westfalen,75.4,38.3,31.3,6.4,6.5,8,8.1,1.3,51.4344,6.7623
Rheinland-Pfalz,77.7,39.6,28.8,5.7,6,6.9,9.5,3.6,49.44,7.7491
Saarland,76.6,36.2,31.5,11.2,4.5,4.7,9.3,2.6,49.2401,6.9969
Sachsen,75.4,30.6,11.7,17.5,4.5,6.7,25.4,3.5,51.0504,13.7372
Sachsen-Anhalt,68.1,32.4,17.2,19.2,3.1,6.5,16.9,4.7,52.1205,11.6276
Schleswig-Holstein,76.3,39.8,28.8,5.3,9.5,7.7,7.5,1.3,54.3232,10.1227
Thueringen,74.3,31.6,14.6,17.6,3.6,5.5,22.5,4.5,50.9847,11.0298
